name, deg, pr, eig, btw, clo, bridges, louvain
"live.com", 19854.0, 28.815205023898105, 0.028984310049700396, 1304896.5073444142, 0.4464739801822748, 1078, 504611
"netvouz.com", 1350.0, 28.598079579481336, 0.0055240316033404015, 306332.2742772625, 0.4030756606994169, 256, 235325
"newscola.com", 0.0, 26.8397156682959, 0.0065703012337771415, 0.0, 0.42053096294245057, 73, 92825
"latimes.com", 1932.0, 26.287632514735556, 0.06469892830093638, 110451.03199325917, 0.47839859542018515, 105, 32562
"dailykos.com", 2452.0, 25.73861531657322, 0.019456224690387616, 8964.500157261777, 0.42167627189361906, 14, 32562
"cnbc.com", 157.0, 24.893851897770535, 0.018297546381740287, 3248.3835067383893, 0.42470155525838743, 7, 32562
"ameblo.jp", 235651.0, 24.591218998898484, 0.003952002528195092, 921421.8902502552, 0.39388304799397694, 4930, 76398
"doubleclick.net", 0.0, 23.904262414501883, 0.011341731646202067, 0.0, 0.41747990036643234, 1, 200207
"icio.us", 0.0, 23.288496859720674, 0.0152618850493054, 0.0, 0.43310275680970073, 0, 235325
"reuters.com", 2727.0, 22.88551290656384, 0.062382630659456616, 414373.5345430386, 0.4817274687696121, 46, 32562
"cdc.gov", 38.0, 22.14910392644736, 0.042412000526353334, 465.2439471507509, 0.4519326408162802, 6, 32562
"photobucket.com", 4.0, 22.083739759109946, 0.020183390525076967, 220.23551778481792, 0.4399825862889351, 5, 32562
"wordpress.org", 1548.0, 22.04518788375968, 0.011979869029977691, 135156.6707842073, 0.42990918931665517, 365, 764978
"engadget.com", 2196.0, 21.964529132840973, 0.021689688343970698, 34494.67008269235, 0.4387290233831945, 25, 764978
"is.gd", 6.0, 21.74946858329645, 0.01202281633692767, 55249.038030680094, 0.42574183945148436, 3, 261016
"indeed.com", 4341.0, 21.52779071686046, 0.004743728704949678, 48545.35733509612, 0.4031552295018054, 267, 396733
"telegraph.co.uk", 2096.0, 20.29194576299491, 0.05281386765453677, 128853.72847186337, 0.4679843271880776, 274, 32562
"wnyc.org", 410.0, 20.115807739724385, 0.007868123701807188, 13737.452982637473, 0.4104267692622127, 19, 518120
"techcrunch.com", 2069.0, 19.387842288237707, 0.03362312879399558, 190206.1270191626, 0.4556126277409416, 51, 764978
"rakuten.co.jp", 172627.0, 19.139553055180368, 0.003603703138804542, 253391.61557650144, 0.39006514899465605, 1252, 76398
"delicious.com", 0.0, 19.069253216400135, 0.009317678543818137, 0.0, 0.42100765715023775, 2, 261016
"stumbleupon.com", 0.0, 18.857821722185026, 0.01399288412624376, 0.0, 0.4293928535378535, 2, 235325
"amazon.co.jp", 0.0, 18.50955224525729, 0.005303334865087, 0.0, 0.39903808402572616, 21, 76398
"bloomberg.com", 8696.0, 18.0888524522988, 0.04764939338512109, 235649.04600400303, 0.4574751870636211, 242, 32562
"addthis.com", 3.0, 17.75759718485373, 0.007005761184009173, 2.9039001597969887, 0.4170111569853942, 4, 92825
"livedoor.jp", 75780.0, 17.35649781123936, 0.004196069147775684, 251965.19752269817, 0.3944536173536978, 1118, 76398
"msdn.com", 6632.0, 17.02508623285963, 0.016497939427158177, 100175.03881438641, 0.4328935623652738, 61, 764978
"timesonline.co.uk", 578.0, 16.426799506174774, 0.048545762289193065, 99956.1938700609, 0.46518617478475494, 104, 32562
"huffingtonpost.com", 6861.0, 16.412660669290037, 0.05294279015918881, 605941.3794068802, 0.4641817384734975, 139, 32562
"yahoo.co.jp", 257.0, 16.39061348626306, 0.005435193072787304, 21730.491501342804, 0.40513461691108327, 53, 76398
"sourceforge.net", 222.0, 16.263092603965365, 0.019005331856808538, 12365.696515756812, 0.4412647553284223, 14, 764978
"blogalaxia.com", 202.0, 16.187369174458265, 0.0051073460487137436, 30470.9107543911, 0.4096857781040663, 64, 32562
"siimteller.com", 250.0, 16.17626250977906, 0.0021126629578129765, 590425.6854669444, 0.38732797948864833, 58, 60228
"macromedia.com", 3.0, 16.07954211852766, 0.008333380317278925, 271.42180255436097, 0.41302059838187377, 6, 569636
"whitehouse.gov", 86.0, 15.955366726050341, 0.04341786213254542, 36815.28306420184, 0.45313592275322184, 3, 32562
"reddit.com", 671.0, 15.938868128349204, 0.013118449165940078, 258349.71149586176, 0.42844361542954223, 30, 235325
"livejournal.com", 0.0, 15.72542555757889, 0.029705900551363417, 0.0, 0.44954426771411826, 21, 764820
"usatoday.com", 3463.0, 15.643541844990619, 0.05261934551672247, 55137.486571550406, 0.4671279972206703, 33, 504611
"github.com", 58.0, 15.435296449564529, 0.008038318519372792, 2369.5937539862225, 0.4174101688924982, 17, 764978
"24timepass.com", 6322.0, 15.267400640802318, 0.0020971353658801625, 10708.290843370612, 0.3845022317328006, 51, 32562
"ow.ly", 0.0, 14.551462135580042, 0.006416249783440716, 0.0, 0.41211058707680503, 0, 518120
"voritos.com", 34.0, 14.4651689204525, 0.0014207145822518336, 2385.6421448490823, 0.37642311378652116, 89, 92825
"livedoor.com", 6349.0, 14.42442077915066, 0.0030786461019660046, 45377.82723988788, 0.38758525479883676, 186, 76398
"nypost.com", 21.0, 14.346879032258734, 0.037887455702499725, 552.5111094460065, 0.44863168847246315, 1, 504611
"nba.com", 141.0, 14.307318986369992, 0.015235547929786963, 673.9971237226481, 0.4275466800332382, 3, 504611
"boston.com", 6963.0, 14.098068213559952, 0.043416247146014046, 138299.4342352653, 0.45744956968277983, 176, 32562
"technet.com", 2381.0, 13.881655080242638, 0.009238765612761306, 614642.0907931906, 0.41345958170842606, 67, 764978
"tumblr.com", 7197.0, 13.844290669289952, 0.019116710580791407, 353635.894656515, 0.4370624586910857, 215, 456285
"etsy.com", 2.0, 13.788015560207434, 0.018989001391916154, 11.273528049889208, 0.43615440429015767, 16, 32562
"foxnews.com", 2791.0, 13.765179332812052, 0.04733162173251425, 198850.592250116, 0.45917230146675747, 19, 32562
"rss2.com", 80.0, 13.702210998825452, 0.0049658649776631114, 5026.199638609728, 0.403314461387069, 8, 504611
"rssmeme.com", 15.0, 13.584151010331095, 0.01071162713197054, 2021.3639654173069, 0.4185436220614347, 1, 396733
"google.co.uk", 208.0, 13.510749458909064, 0.018043036949214924, 687685.27740439, 0.4310206518965379, 8, 396733
"businessweek.com", 1935.0, 13.335427617733732, 0.03312770376156942, 105760.75281676065, 0.4496441223797381, 25, 764978
"wired.com", 7733.0, 13.183680170684145, 0.04290491814366975, 602380.5605373982, 0.46449845996446704, 308, 764978
"google.es", 0.0, 13.092877334144802, 0.007213998470412416, 0.0, 0.404348852114135, 12, 32562
"house.gov", 176.0, 13.01648893476213, 0.03818262512338921, 4139.835648661548, 0.4456701808726177, 5, 32562
"haloscan.com", 0.0, 12.923154435310177, 0.00598533903288346, 0.0, 0.41308981850211396, 0, 32562
"tr.im", 10.0, 12.87738811012478, 0.011377265836964153, 340.57027406212075, 0.4259638343620337, 2, 261016
"ning.com", 2757.0, 12.516933367858975, 0.019951098418353724, 83505.45458083243, 0.43631546308791763, 173, 771272
